cluster_2	new_type	feature	cluster	type
13	Unknown	five years education required	1	education
13	Unknown	and discounts required education	1	education
13	Unknown	job requirements and education	1	education
13	Unknown	job specifications required education	1	education
13	Unknown	equivalent required additional education	1	education
13	Unknown	and or education requirements	1	education
13	Unknown	has an education requirement	1	education
13	Unknown	including weekends education required	1	education
13	Unknown	of educational program requirements	1	education
13	Unknown	must required education	1	education
13	Unknown	including educational requirements	1	education
13	Unknown	including educational requirements basic	1	education
13	Unknown	needs require educational background	1	education
13	Unknown	needs require educational	1	education
13	Unknown	minimum requirements education less	1	education
13	Unknown	minimum requirements education	1	education
13	Unknown	need required education	1	education
13	Unknown	business needs require educational	1	education
13	Unknown	educational requirements and or	1	education
13	Unknown	qualifications including educational requirements	1	education
13	Unknown	require educational background high	1	education
13	Unknown	required additional education	1	education
13	Unknown	required additional education and	1	education
13	Unknown	required college education	1	education
13	Unknown	required college education in	1	education
13	Unknown	required education and experienceassociate	1	education
13	Unknown	that education physical requirements	1	education
13	Unknown	required education must lead	1	education
13	Unknown	required education and	1	education
13	Unknown	required education year	1	education
13	Unknown	no education requirement	1	education
13	Unknown	no qualifications required education	1	education
13	Unknown	none education required	1	education
13	Unknown	none education required unknown	1	education
13	Unknown	weekends education required	1	education
13	Unknown	weekends education required high	1	education
13	Unknown	welcome minimum requirements education	1	education
13	Unknown	ability education requirement	1	education
13	Unknown	require educational	1	education
13	Unknown	required education must	1	education
13	Unknown	require educational background	1	education
13	Unknown	or education requirements you	1	education
13	Unknown	ability education requirement bachelor	1	education
13	Unknown	the required education	1	education
13	Unknown	school education required	1	education
13	Unknown	school education required college	1	education
13	Unknown	pt required education	1	education
13	Unknown	pt required education high	1	education
13	Unknown	or education requirements	1	education
13	Unknown	the required education must	1	education
13	Unknown	qualifications education required	1	education
13	Unknown	today qualifications required education	1	education
13	Unknown	timesminimum requirements education	1	education
13	Unknown	selectee education program requirements	1	education
13	Unknown	stores education required high	1	education
13	Unknown	specifications required education or	1	education
13	Unknown	specifications required education	1	education
13	Unknown	qualifications education required bachelor	1	education
12	Unknown	education employment and	1	education
12	Unknown	employment verification education verification	1	education
12	Unknown	employment verification education and	1	education
12	Unknown	employment education and criminal	1	education
12	Unknown	employment education and	1	education
12	Unknown	employment education	1	education
12	Unknown	employed or receive education	1	education
12	Unknown	education employment	1	education
12	Unknown	eeo employer education and	1	education
12	Unknown	to education employment	1	education
12	Unknown	education and former employment	1	education
12	Unknown	validation education verification employment	1	education
12	Unknown	employer education and or	1	education
12	Unknown	education verification employment verification	1	education
12	Unknown	eeo employer education	1	education
12	Unknown	education verification employment	1	education
12	Unknown	employment verification education	1	education
12	Unknown	employer education and	1	education
12	Unknown	and educate employers commuters	1	education
12	Unknown	to education employment and	1	education
12	Unknown	record employment verification education	1	education
12	Unknown	education employment and criminal	1	education
12	Unknown	and educate employers	1	education
12	Unknown	include past employment education	1	education
12	Unknown	educate employers commuters	1	education
12	Unknown	educate employers commuters on	1	education
12	Unknown	educate employers	1	education
12	Unknown	generate and educate employers	1	education
12	Unknown	prior employment verification education	1	education
12	Unknown	employer education	1	education
12	Unknown	verification education verification	1	education
12	Unknown	past employment education	1	education
12	Unknown	past employment education and	1	education
12	Unknown	limited to education employment	1	education
12	Unknown	verification education verification social	1	education
11	Unknown	training education	1	education
11	Unknown	education required sales training	1	education
11	Unknown	education training and	1	education
11	Unknown	licensed compliance training educational	1	education
11	Unknown	training and education to	1	education
11	Unknown	educate and train retail	1	education
11	Unknown	benefits continuing education training	1	education
11	Unknown	training to remain educated	1	education
11	Unknown	education training years guest	1	education
11	Unknown	employees education training	1	education
11	Unknown	training and education	1	education
11	Unknown	educates trains	1	education
11	Unknown	employees education training high	1	education
11	Unknown	education or training requires	1	education
11	Unknown	education or formal training	1	education
11	Unknown	education education training	1	education
11	Unknown	educates trains and	1	education
11	Unknown	also educate and train	1	education
11	Unknown	education training high	1	education
11	Unknown	education education training years	1	education
11	Unknown	education or training typically	1	education
11	Unknown	education or training high	1	education
11	Unknown	lingual education or training	1	education
11	Unknown	templates educate and train	1	education
11	Unknown	continuing education training unique	1	education
11	Unknown	continuing education training	1	education
11	Unknown	educational opportunities and training	1	education
11	Unknown	education training unique internal	1	education
11	Unknown	per year training educating	1	education
11	Unknown	education technical training	1	education
11	Unknown	education and training if	1	education
11	Unknown	educate and train other	1	education
11	Unknown	education and training preferred	1	education
11	Unknown	education and training you	1	education
11	Unknown	educate and train	1	education
11	Unknown	education or training	1	education
11	Unknown	customers education training supports	1	education
11	Unknown	education training supports	1	education
11	Unknown	education training supports sales	1	education
11	Unknown	education and training either	1	education
11	Unknown	and education education training	1	education
11	Unknown	continuing education and training	1	education
11	Unknown	educates trains and develops	1	education
11	Unknown	skills education or training	1	education
11	Unknown	compliance training educational and	1	education
11	Unknown	compliance training educational	1	education
11	Unknown	qualifications education training	1	education
11	Unknown	qualifications education training high	1	education
11	Unknown	education training years	1	education
11	Unknown	education training unique	1	education
11	Unknown	education technical training and	1	education
11	Unknown	support educates trains and	1	education
11	Unknown	training education and	1	education
11	Unknown	year training educating presenting	1	education
11	Unknown	stress training education	1	education
11	Unknown	sanitation education and training	1	education
11	Unknown	sales training and education	1	education
