cluster_2	new_type	feature	cluster	type
13	technical	knowledge to include new	6	knowledge
13	technical	new technology knowledge	6	knowledge
13	technical	knowledge on new	6	knowledge
13	technical	knowledge and teaches new	6	knowledge
13	technical	of new technology knowledge	6	knowledge
13	technical	knowledge of new technology	6	knowledge
13	technical	advanced knowledge of new	6	knowledge
13	technical	new technology knowledge of	6	knowledge
13	technical	new skills and knowledge	6	knowledge
13	technical	specific knowledge on new	6	knowledge
12	Unknown	job qualifications knowledge	6	knowledge
12	Unknown	times specific job knowledge	6	knowledge
12	Unknown	job knowledge skill	6	knowledge
12	Unknown	specific job knowledge skill	6	knowledge
12	Unknown	qualifications job requirements knowledge	6	knowledge
12	Unknown	projects job qualifications knowledge	6	knowledge
12	Unknown	designated job responsibilities knowledge	6	knowledge
12	Unknown	job qualifications knowledge skill	6	knowledge
12	Unknown	job knowledge skill and	6	knowledge
12	Unknown	job skills and knowledge	6	knowledge
12	Unknown	job responsibilities knowledge	6	knowledge
12	Unknown	job requirements knowledge skills	6	knowledge
12	Unknown	job responsibilities knowledge may	6	knowledge
12	Unknown	job requirements knowledge	6	knowledge
12	Unknown	job functionsﾷmaintain complete knowledge	6	knowledge
12	Unknown	associates job knowledge	6	knowledge
12	Unknown	associates job knowledge remain	6	knowledge
12	Unknown	other associates job knowledge	6	knowledge
12	Unknown	job level of knowledge	6	knowledge
12	Unknown	knowledge of the job	6	knowledge
12	Unknown	updates job knowledge by	6	knowledge
12	Unknown	card job knowledge	6	knowledge
12	Unknown	job knowledge by participating	6	knowledge
12	Unknown	needs updates job knowledge	6	knowledge
12	Unknown	job knowledge skills and	6	knowledge
12	Unknown	job knowledge skills	6	knowledge
12	Unknown	confidential updates job knowledge	6	knowledge
12	Unknown	deadlines job knowledge	6	knowledge
12	Unknown	card job knowledge remain	6	knowledge
12	Unknown	specific job knowledge skills	6	knowledge
12	Unknown	credit card job knowledge	6	knowledge
12	Unknown	job knowledge by	6	knowledge
12	Unknown	job knowledge remain	6	knowledge
12	Unknown	job knowledge	6	knowledge
12	Unknown	updates job knowledge	6	knowledge
12	Unknown	specific job knowledge	6	knowledge
12	Unknown	job knowledge remain up	6	knowledge
11	Unknown	maintaining knowledge of rwscandrsquo	6	knowledge
11	Unknown	maintaining general knowledge of	6	knowledge
11	Unknown	maintain in depth knowledge	6	knowledge
11	Unknown	maintain knowledge of all	6	knowledge
11	Unknown	maintain knowledge of and	6	knowledge
11	Unknown	maintain knowledge of competitors	6	knowledge
11	Unknown	maintaining whole store knowledge	6	knowledge
11	Unknown	maintain knowledge of market	6	knowledge
11	Unknown	maintain sound knowledge	6	knowledge
11	Unknown	maintain good working knowledge	6	knowledge
11	Unknown	maintaining knowledge of rwsc	6	knowledge
11	Unknown	maintains pharmacological knowledge by	6	knowledge
11	Unknown	maintain sound knowledge of	6	knowledge
11	Unknown	maintaining knowledge of rwscs	6	knowledge
11	Unknown	regiond maintain knowledge	6	knowledge
11	Unknown	maintaining strong knowledge of	6	knowledge
11	Unknown	maintaining strong knowledge	6	knowledge
11	Unknown	regulations maintains pharmacological knowledge	6	knowledge
11	Unknown	statutes maintains knowledge	6	knowledge
11	Unknown	statutes maintains knowledge of	6	knowledge
11	Unknown	descriptions maintains knowledge of	6	knowledge
11	Unknown	descriptions maintains knowledge	6	knowledge
11	Unknown	maintains knowledge of real	6	knowledge
11	Unknown	regiond maintain knowledge of	6	knowledge
11	Unknown	regulatory statutes maintains knowledge	6	knowledge
11	Unknown	to management maintains knowledge	6	knowledge
11	Unknown	selling maintaining sound knowledge	6	knowledge
11	Unknown	service maintain technical knowledge	6	knowledge
11	Unknown	site maintain strong knowledge	6	knowledge
11	Unknown	maintain technical knowledge by	6	knowledge
11	Unknown	maintains pharmacological knowledge	6	knowledge
11	Unknown	guidelines maintain knowledge of	6	knowledge
11	Unknown	maintain and expand knowledge	6	knowledge
11	Unknown	professionalism maintaining strong knowledge	6	knowledge
11	Unknown	maintaining knowledge of	6	knowledge
11	Unknown	knowledge maintaining and	6	knowledge
11	Unknown	knowledge maintain shelf schematic	6	knowledge
11	Unknown	knowledge maintaining	6	knowledge
11	Unknown	objectives maintain knowledge of	6	knowledge
